"tipoentidad","codigoentidad","nombreentidad","fechacorte","unidad_de_captura","nombre","tipo","subcuenta","nombre_sub","tasaefectivaanual","montos","num_creditos_desembolsados"
"1","23","Banco De Occidente","2019-06-21T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","12.29","441423","3"
"4","119","Ripley Compañía De Financiamiento S.A.","2014-06-27T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","29.08","498283.42","1705"
"1","49","Av Villas","2022-02-25T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","7.78","4726000","10"
"4","13","Inversora Pichincha S.A. Compañía De Financiamiento","2003-07-11T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","28.92","1036150","0"
"1","23","Banco De Occidente","2009-10-16T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","2045379","0"
"1","30","Banco Caja Social","2007-09-21T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","10","CONSTRUCCION VIVIENDA VIS (UVR)","10.8","770000","0"
"32","2","Jfk Cooperativa Financiera","2014-05-23T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","18.37","1208233","251"
"1","13","Bbva Colombia","2016-06-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","18569709.08","122060"
"4","23","Serfinansa","2014-09-12T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","11.97","4184200.38","37"
"1","39","Banco Davivienda","2009-08-14T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","27.98","20774028.59","0"
"1","2","Banco Popular","2020-10-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","27.13","2154370","10669"
"32","5","Confiar Cooperativa Financiera","2005-11-18T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","26.65","34170.13","0"
"1","13","Bbva Colombia","2011-01-14T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","70","ENTRE 1096 Y 1825 DIAS","7.23","1500000","1"
"4","121","Financiera Juriscoop C.F.","2022-01-21T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","25.87","152274.07","501"
"1","23","Banco De Occidente","2008-06-27T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","18.81","178000","0"
"1","30","Banco Caja Social","2013-05-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","30.88","3251829.92","23353"
"1","43","Banagrario","2005-11-25T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","15.99","429000","0"
"1","13","Bbva Colombia","2021-06-25T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","11.51","210600","31"
"1","7","Bancolombia","2013-01-11T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","7.88","2347201.95","12"
"32","4","Cotrafa Financiera","2017-02-17T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","19.52","779751","180"
"4","21","Financiera Mazdacredito S.A. Compañía De Financiamiento Comercial","2003-10-03T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","22.41","8000","0"
"1","43","Banagrario","2018-06-15T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","19.88","398780","926"
"1","7","Bancolombia","2014-04-25T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","9.41","14586595.61","95"
"1","7","Bancolombia","2016-07-29T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","17.09","11325757","452"
"4","23","Serfinansa","2004-12-31T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","22.4","569929.92","0"
"1","39","Banco Davivienda","2006-01-27T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","2582419.21","0"
"1","39","Banco Davivienda","2011-12-09T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","17.74","72215981.07","245"
"4","23","Serfinansa","2016-07-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","19.28","1687570.97","2"
"1","13","Bbva Colombia","2016-08-12T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","31.89","293309.33","422"
"1","54","Bancoomeva","2021-12-24T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","13.52","2585386","34"
"32","3","Coofinep Cooperativa Financiera","2018-02-09T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","19.1","25000","1"
"1","7","Bancolombia","2002-06-28T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","11.38","9302174","0"
"1","58","Coopcentral","2017-09-01T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","25.75","497145.68","332"
"1","10","Banco Gnb","2010-04-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","22.78","740636","0"
"1","9","Citibank","2010-04-23T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","90","ENTRE 1 Y 5 DIAS","4.37","1500000","0"
"1","39","Banco Davivienda","2002-11-22T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","28.32","25835.19","0"
"1","43","Banagrario","2017-09-01T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","11.32","555900","2"
"32","3","Coofinep Cooperativa Financiera","2013-07-12T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","22.66","287300","27"
"1","49","Av Villas","2005-12-16T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","10","DEP AHORRO ORDINARIOS ACTIVOS","3.16","1262612809.54","0"
"4","31","Gm Financial Colombia S.A. Compañía De Financiamiento","2013-11-29T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","15.3","958824.72","31"
"1","49","Av Villas","2011-10-07T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","30","CTAS AHORRO ESPECIALES EN PESOS","0.88","30697265.66","0"
"1","42","Banco Colpatria, ""Scotiabank""","2019-04-12T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","28.94","440652","1607"
"1","13","Bbva Colombia","2015-11-06T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","10","CONSTRUCCION VIVIENDA VIS (UVR)","5.12","628290","5"
"1","48","Banco Aliadas S.A.","2002-11-22T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","25.34","2069980","0"
"4","65","Leasing Bolivar","2010-01-22T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","18.14","443583","0"
"1","2","Banco Popular","2011-08-26T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","12.87","2936100","30"
"4","23","Serfinansa","2004-08-20T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","20.84","3031012.21","0"
"1","49","Av Villas","2022-04-08T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","17","ADQ VIVIENDA VIS (PESOS)","12.99","648177.94","10"
"1","43","Banagrario","2009-06-05T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","3353","0"
"4","8","Giros & Finanzas C.F.","2009-01-16T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","30","5731.39","0"
"1","12","Banco Gnb Sudameris","2005-09-09T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","13.87","2645250","0"
"1","43","Banagrario","2011-01-14T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","23.29","157345","501"
"4","102","Financiera Compartir S.A. Compañía De Financiamiento","2008-02-08T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","32.74","20000","0"
"1","7","Bancolombia","2022-03-25T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","10.98","216201504.93","4259"
"1","7","Bancolombia","2003-10-03T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","26.43","564400","0"
"4","21","Financiera Mazdacredito S.A. Compañía De Financiamiento Comercial","2005-05-20T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","27.32","3308339","0"
"4","67","Leasing Bancolombia","2013-07-12T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","7.68","1090519.75","5"
"1","47","Conavi Banco Comercial Y De Ahorros S.A.","2005-06-17T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","3051582","0"
"1","62","Mibanco S.A.","2020-08-28T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","45.76","405155","142"
"32","1","Cooperativa Financiera De Antioquia","2003-09-26T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","28","324836","0"
"1","12","Banco Gnb Sudameris","2018-09-07T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","17.06","54396086.07","1750"
"1","23","Banco De Occidente","2018-03-02T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","100","CONSUMOS ENTRE 13 Y 18 M","29.72","1543","5"
"1","43","Banagrario","2008-01-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","28.93","3542","0"
"4","122","Rci Colombia S.A.","2018-06-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","16.63","19200","1"
"1","5","Banco Cafetero S.A. En Liquidación","2004-01-16T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","9.89","37343215","0"
"1","57","Banco Pichincha S.A.","2019-06-14T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","16.19","143682.3","11"
"1","9","Citibank","2003-09-26T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","30.13","955035.8","0"
"4","22","Confinanciera S.A. Compañía De Financiamiento","2007-09-28T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","23.81","294500","0"
"32","4","Cotrafa Financiera","2017-03-24T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","18.32","630051","141"
"1","9","Citibank","2015-11-13T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","60","AVANCES EFECTIVO","28.9","75672.49","220"
"4","24","Financiera Andina S.A., Finandina, Compañía De Financiamiento","2008-03-28T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","10","DEP AHORRO ORDINARIOS ACTIVOS","3","138485.48","0"
"1","39","Banco Davivienda","2020-09-04T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","19.98","21895012.48","351"
"1","48","Banco Aliadas S.A.","2003-02-21T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","19.37","626985","0"
"1","63","Banco Serfinanza S.A.","2021-07-30T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","25.04","8448240.38","19859"
"1","23","Banco De Occidente","2016-03-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","25.68","107878257","10025"
"1","47","Conavi Banco Comercial Y De Ahorros S.A.","2002-11-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","937257","0"
"1","13","Bbva Colombia","2014-04-11T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","29.35","61872.13","61"
"1","2","Banco Popular","2012-07-13T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","15.07","6190673","383"
"1","7","Bancolombia","2006-07-07T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","22.23","347307300","0"
"1","13","Bbva Colombia","2008-03-14T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","32.5","4985056","0"
"1","12","Banco Gnb Sudameris","2014-07-18T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","8.86","460000","1"
"1","42","Banco Colpatria, ""Scotiabank""","2003-01-03T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","13.36","557000","0"
"1","7","Bancolombia","2014-09-12T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","100","CONSUMOS ENTRE 13 Y 18 M","28.92","11659","22"
"1","7","Bancolombia","2015-05-15T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","26.66","13098161","43956"
"1","59","Banco Santander","2017-06-23T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","12.55","49600","1"
"1","43","Banagrario","2014-02-28T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","26.27","2774201","807"
"1","39","Banco Davivienda","2004-10-01T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","20.6","454513.3","0"
"4","8","Giros & Finanzas C.F.","2017-06-30T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","17.24","263473","46"
"1","39","Banco Davivienda","2016-01-22T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","29.12","33979375.16","38195"
"32","5","Confiar Cooperativa Financiera","2009-10-23T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","17.46","25390.93","0"
"1","43","Banagrario","2005-06-03T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","10","DEP AHORRO ORDINARIOS ACTIVOS","3.57","1292853568","0"
"1","14","Helm Bank S.A.","2008-02-29T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","18.86","3044476.69","0"
"1","1","Banco De Bogota","2019-11-22T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","35.57","2159617","152"
"4","31","Gm Financial Colombia S.A. Compañía De Financiamiento","2009-12-04T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","19.98","85016.3","0"
"1","43","Banagrario","2004-06-18T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","10","DEP AHORRO ORDINARIOS ACTIVOS","3.78","973238227","0"
"1","30","Banco Caja Social","2017-11-17T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","30.91","209140.19","712"
"4","8","Giros & Finanzas C.F.","2012-06-01T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","12","ADQ VIVIENDA DIFERENTE VIS (PESOS)","15","84135","1"
"1","57","Banco Pichincha S.A.","2012-11-02T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","27.12","3944","12"
"1","43","Banagrario","2021-06-18T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","10.93","127352","7"
"1","1","Banco De Bogota","2011-09-30T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","12","ADQ VIVIENDA DIFERENTE VIS (PESOS)","16.02","600000","1"
"1","13","Bbva Colombia","2008-02-29T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","14.27","61196776","0"
"22","8","Fondo Nacional Del Ahorro","2015-09-04T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","15","ADQ VIVIENDA DIFERENTE VIS (UVR)","7.52","4879863.52","53"
"4","111","C.A. Credifinanciera Cf","2015-05-01T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","60","ENTRE 366 Y 1095 DIAS","40.65","715619","150"
"1","1","Banco De Bogota","2002-08-23T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","90","ENTRE 1 Y 5 DIAS","7.23","1325000","0"
"1","14","Helm Bank S.A.","2010-06-18T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","10.11","1390451.47","0"
"32","1","Cooperativa Financiera De Antioquia","2012-04-20T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","33.82","4000","2"
"1","42","Banco Colpatria, ""Scotiabank""","2005-11-04T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","16.77","3199486","0"
"4","67","Leasing Bancolombia","2003-05-23T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","17.71","1514596","0"
"1","43","Banagrario","2010-12-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","21.27","13819","0"
"1","30","Banco Caja Social","2017-10-20T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","8.21","8828485.41","23"
"4","8","Giros & Finanzas C.F.","2014-12-05T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","18.58","279050","19"
"1","49","Av Villas","2003-10-10T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","19.38","915847.51","0"
"4","108","Iris Cf","2008-03-21T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","23.27","13819.32","0"
"1","12","Banco Gnb Sudameris","2015-05-08T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","23.26","741607.89","207"
"32","5","Confiar Cooperativa Financiera","2022-03-25T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","22.62","76927.53","156"
"1","10","Banco Gnb","2002-11-15T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","26.41","103255","0"
"1","13","Bbva Colombia","2008-08-29T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","20","ADQ VIVIENDA VIS (UVR)","10.49","1633791.07","0"
"4","33","Internacional","2009-04-17T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","20.94","118063","0"
"4","26","Tuya","2008-05-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","32.65","2973910.62","0"
"1","9","Citibank","2010-02-05T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","23.96","5038704.25","0"
"1","30","Banco Caja Social","2015-02-13T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","22.83","11123984.06","1225"
"1","12","Banco Gnb Sudameris","2005-01-07T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","23","5000","0"
"1","1","Banco De Bogota","2018-08-17T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","17","ADQ VIVIENDA VIS (PESOS)","11.44","2593533","51"
"1","30","Banco Caja Social","2004-12-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","43444","0"
"1","39","Banco Davivienda","2008-02-15T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","20","ADQ VIVIENDA VIS (UVR)","10.7","1526648.44","0"
"1","2","Banco Popular","2016-03-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","29.24","34306","6"
"1","60","Banco Mundo Mujer S.A.","2020-08-28T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","27.44","113900","16"
"4","8","Giros & Finanzas C.F.","2011-02-18T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","10","DEP AHORRO ORDINARIOS ACTIVOS","0.61","33995390.27","0"
"32","1","Cooperativa Financiera De Antioquia","2021-08-13T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","60","ENTRE 366 Y 1095 DIAS","27.78","260216","40"
"1","49","Av Villas","2011-12-02T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","108407.73","368"
"32","2","Jfk Cooperativa Financiera","2021-06-25T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","20.56","178150","11"
"1","42","Banco Colpatria, ""Scotiabank""","2008-10-17T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","5","CONSTRUCCION VIVIENDA DIF VIS (PESOS)","17.7","200000","0"
"32","4","Cotrafa Financiera","2015-04-10T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","20.19","70680","21"
"1","49","Av Villas","2003-01-17T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","12","ADQ VIVIENDA DIFERENTE VIS (PESOS)","16.08","319968.87","0"
"1","53","Banco W S.A.","2019-10-04T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","18.44","5142.8","2"
"1","7","Bancolombia","2017-01-13T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","9","CONSTRUCCION VIVIENDA VIS (PESOS)","12.1","48000","1"
"1","2","Banco Popular","2005-05-06T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","60","ENTRE 366 Y 1095 DIAS","28.07","24300","0"
"1","30","Banco Caja Social","2009-12-25T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","30","CTAS AHORRO ESPECIALES EN PESOS","0.15","65350843.07","0"
"4","13","Inversora Pichincha S.A. Compañía De Financiamiento","2003-03-07T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","29.24","41334","0"
"4","13","Inversora Pichincha S.A. Compañía De Financiamiento","2010-07-02T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","21.31","1340477.06","0"
"1","42","Banco Colpatria, ""Scotiabank""","2007-01-26T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","5","CONSTRUCCION VIVIENDA DIF VIS (PESOS)","12.13","3944491","0"
