"tipoentidad","codigoentidad","nombreentidad","fechacorte","unidad_de_captura","nombre","tipo","subcuenta","nombre_sub","tasaefectivaanual","montos","num_creditos_desembolsados"
"1","30","Banco Caja Social","2009-01-30T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","15.71","500000","0"
"32","1","Cooperativa Financiera De Antioquia","2010-07-23T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","21","50000","0"
"1","13","Bbva Colombia","2012-07-20T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","17.49","182300","38"
"4","8","Giros & Finanzas C.F.","2009-06-26T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","30.37","103096.94","0"
"1","6","Itaú; Banco Itaú.","2010-08-06T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","10","DEP AHORRO ORDINARIOS ACTIVOS","0.99","1027914151","0"
"1","23","Banco De Occidente","2012-11-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","29.6","197023","573"
"4","35","Macrofinanciera S.A. Compañía De Financiamiento","2012-04-06T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","11.92","641772.65","13"
"1","51","Bancien S.A. Y/O ""Ban100""","2021-06-04T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","23.99","346860.69","109"
"1","54","Bancoomeva","2014-02-07T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","26.44","16809.39","47"
"1","22","Banco Union Colombiano","2006-02-10T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","345187.6","0"
"4","26","Tuya","2008-12-12T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","24.65","1865405.72","0"
"4","121","Financiera Juriscoop C.F.","2020-05-01T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","132753","1376"
"1","43","Banagrario","2006-11-24T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","22.28","696","0"
"1","2","Banco Popular","2010-12-31T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","20","2968799","36927"
"1","43","Banagrario","2013-06-14T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","483354","3059"
"4","24","Financiera Andina S.A., Finandina, Compañía De Financiamiento","2004-12-17T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","21.62","583588","0"
"1","42","Banco Colpatria, ""Scotiabank""","2014-08-01T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","13.82","6341890","251"
"1","13","Bbva Colombia","2006-01-27T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","5","CONSTRUCCION VIVIENDA DIF VIS (PESOS)","16.01","100000","0"
"4","118","Crezcamos S.A.","2013-10-25T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","48","292724","476"
"1","23","Banco De Occidente","2009-01-30T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","24.85","7623516","0"
"1","42","Banco Colpatria, ""Scotiabank""","2017-09-01T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","80","A MAS DE 1825 DIAS","9.48","6085663","6"
"1","49","Av Villas","2009-05-08T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","15.08","22008840","0"
"1","23","Banco De Occidente","2015-07-10T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","10.34","44807045","240"
"4","8","Giros & Finanzas C.F.","2016-07-01T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","26.1","1560377","186"
"1","59","Banco Santander","2017-12-01T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","9.85","2693278.97","1"
"32","2","Jfk Cooperativa Financiera","2021-05-14T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","13.93","1212162","160"
"4","101","Arco Grupo Bancoldex","2009-06-26T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","13.37","461283.96","0"
"4","101","Arco Grupo Bancoldex","2018-06-08T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","13.59","311807.03","1"
"1","12","Banco Gnb Sudameris","2012-01-20T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","10.13","286666","1"
"1","30","Banco Caja Social","2009-06-26T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","729908.33","0"
"1","2","Banco Popular","2006-01-13T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","25.71","15791","0"
"4","121","Financiera Juriscoop C.F.","2017-06-30T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","31.81","350434","1753"
"1","42","Banco Colpatria, ""Scotiabank""","2019-09-20T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","9.77","500238","2"
"1","22","Banco Union Colombiano","2005-07-15T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","17.32","4747.13","0"
"1","45","Banco Granahorrar","2006-03-10T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","14.99","154148.5","0"
"1","43","Banagrario","2002-07-19T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","21.55","30000","0"
"1","9","Citibank","2016-09-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","25.14","13581.6","25"
"1","30","Banco Caja Social","2017-03-17T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","28.73","3196999.05","6065"
